community_name,community_address,community_rent,community_rooms,community_description,apartment_no,no_of_bedrooms,no_of_bathrooms,area,floor_no,availability,deposit,Max_rent,Min_rent,amenities,community_amenities
Union Place,"10 Independence WayFranklin, MA 02038","$2,162",2 Bedrooms,"Union Place is a beautiful apartment community offering comfort, tranquility, and convenience in Franklin.",309,1,1.0,721,3,True,650.0,2207.0,2207.0,"['Oak on grey finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Wood plank flooring', 'Bay window', 'Washer and dryer', 'Breakfast bar', 'Air conditioner', 'Elevator access', 'Microwave', 'Refrigerator', 'Garbage disposal', 'Dishwasher', 'Tile in kitchen and bath', 'Grey laminate countertop', 'Oak cabinets']","['Airbnb-friendly', 'Controlled access building', 'Dog park', 'Fitness center', 'Garage parking', 'Gas grills', 'Heated swimming pool', 'On-site storage', 'Outdoor kitchen', 'Package lockers', 'Pet friendly', 'Playground']"
Legacy Village Apartment Homes,"7001 Parkwood BoulevardPlano, TX 75024","$1,266",3 Bedrooms,"Within walking distance to shops, dining, and more, Legacy Village puts our residents near the best of Plano.",7519,2,2.0,1486,5,True,450.0,2446.0,2446.0,"['Lake view', 'Smart Home + GiGstreem Internet', 'Granite countertops', 'Washer and dryer', 'Balcony', 'Walk-in closet', 'Corner location']","['24-hour package lockers', 'Airbnb-friendly', 'Clubhouse', 'Covered parking', 'Dog park', 'Elevators – in select buildings', 'Fitness center', 'Free weights', 'Grilling areas', 'Lounge terrace', 'On-site laundry', 'On-site storage', 'Pet friendly', 'Private garages', 'Recreation room', 'Reserved parking available', 'Resident events', 'Serene courtyards (5)', 'Swimming pools (3)']"
One Upland,"8 Upland Woods CircleNorwood, MA 02062","$2,616",3 Bedrooms,"One Upland offers spacious interiors and welcoming community amenities, all nestled in the lush forests of Norwood, MA.",207,1,1.0,822,2,True,650.0,2646.0,2646.0,"['Juliet balcony', 'Espresso on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Gas range stove', 'White subway tile backsplash', 'Walk-in closet', 'Pantry', 'Kitchen island', 'Under cabinet lighting', 'Undermount sink', 'Tile floor in bathroom', 'Ceiling fans', 'Dishwasher', 'Microwave', 'Garbage disposal', 'Espresso cabinetry', 'Air conditioner', 'Shower / tub combo']","['24-hour package pickup', 'Bike storage', 'Billiards table', 'Coffee bar', 'Conference room', 'Co-working lounge', 'Courtyard', 'Fire pit', 'Fitness center', 'Garage parking', 'Large and small dog park', 'Outdoor kitchen with grills', 'Outdoor fireplace', 'Playground', 'Spin studio with Peloton bikes', 'Sundeck', 'Swimming pool', 'Resident lounge', 'Working privacy pod']"
Central Square at Frisco,"6235 Main StFrisco, TX 75034","$1,176",3 Bedrooms,"Experience premiere living at Central Square at Frisco, where impressive apartments, resort-style amenities, and a prime location converge to create an exceptional living experience.",1018,1,1.0,684,1,True,250.0,1345.0,1345.0,"['Pool view', 'Patio/balcony', '15 ft ceiling', 'Espresso on white finish package', 'Smart home package', 'Kitchen island', 'Quartz countertops', 'Stainless steel appliances', 'Walnut wood plank flooring', 'Washer and dryer', 'Glass top stove', 'Tile backsplash', 'Walk-in closet', 'Undermount sink', '42 inch cabinetry', 'Ceiling fan', 'Espresso cabinetry', 'Air conditioner', 'Under cabinet lighting', 'Dishwasher', 'Microwave', 'Garbage disposal', 'Shower/tub combo', 'Built-in shelving', 'Carpeted bedrooms', 'Side by side refrigerator']","['Airbnb-friendly', 'Bike storage', 'Co-working lounge', 'Coffee/tea bar', 'Conference room', 'Courtyard and picnic area', 'Executive lounge', 'Fitness center', 'Grilling stations', 'Package lockers', 'Ping pong table', 'Private study rooms', 'Pet grooming station', 'Resident lounge', 'Reserved parking options', 'Storage options available', 'Spin room', 'Sports lounge', 'Sundeck', 'Swimming pool', 'Valet trash service']"
Cool Springs at Frisco Bridges,"3198 Parkwood BlvdFrisco, TX 75034","$1,187",2 Bedrooms,"Cool Springs at Frisco Bridges offers stylish apartments, resort-inspired community amenities, and an ideal location in Frisco.",12066,1,1.0,540,2,True,300.0,1222.0,1222.0,"['Updated interior', 'Courtyard view', 'Patio / balcony', 'Walnut on white finish package', 'Walnut cabinetry', 'Quartz countertops', 'Stainless steel appliances', 'Natural wood plank flooring', 'Washer and dryer', 'Premium bathroom fixtures', 'Smart home package', 'Tile backsplash', 'Walk-in closets', 'Ceiling fans in bedrooms', '2""\xa0wood-style blinds', 'Ceramic tile bath surround', 'Tub / shower combo', 'Air conditioner', 'Dishwasher', 'Microwave', 'Garbage disposal']","['Airbnb-friendly', 'Elevator', 'Fitness centers', 'Grilling stations', 'Lawn game courtyard', 'Multi-Level garage parking with assigned parking available', 'On-site storage', 'Package lockers', 'Sundecks', 'Swimming pools (3)', 'Unwinding courtyard']"
Calvert's Walk,"200 Foxhall DrBel Air, MD 21015","$1,267",3 Bedrooms,"Nestled in a wood setting in Bel Air, Calvert's Walk apartment homes offer great amenities and conveniences.",F23E,1,1.0,760,2,True,500.0,1376.0,1376.0,"['Espresso on white finish package', 'Balcony', 'Black appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Closet built-ins', 'Breakfast bar', 'Built-in bookcase', 'Espresso cabinetry']","['Airbnb-friendly', 'Clubhouse', 'Coffee and tea bar', 'Controlled-access building', 'Carport parking spaces available', 'Dog park', 'Fitness center', 'Grilling area', 'On-site maintenance', 'Pet friendly', 'Swimming pool', 'Tennis court']"
Rodgers Forge,"6809 Bellona AveBaltimore, MD 21212","$1,329",3 Bedrooms,"The Rodgers Forge apartment community is located in one of the most beautiful neighborhoods in Towson, MD, providing serene views, spacious apartments, and convenient amenities.",B,1,1.0,668,1,True,500.0,1598.0,1598.0,"['Updated interior', 'White on white finish package', 'Bay window', 'White Cabinetry', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Wood-look blinds', 'Smart home package', 'Ceramic tile bath', 'Air conditioner', 'Gas stove', 'Keypad building entry', 'Microwave', 'Dishwasher']","['Courtyards', 'Dog Park with Agility Equipment', '24-hour Fitness center', 'Grilling Stations and Picnic Areas', 'Pet-friendly', 'Playground', 'Street parking', 'Towson University shuttle service ']"
Lodge at Ames Pond,"1 Ames Hill DriveTewksbury, MA 01876","$2,242",3 Bedrooms,Let every day feel like a weekend getaway when you call our stylish apartments in Tewksbury home.,224,1,1.0,731,2,True,650.0,2242.0,2242.0,"['Walnut on grey finish package', 'Pond view', 'Small patio/ balcony', 'Stainless steel appliances', 'Wood plank flooring', 'wood plan flooring throughout', 'Smart home package', 'Washer and dryer', 'Built-in desk', 'Walk-in closet', 'Soaking tub', 'Grey countertops', 'Walnut cabinetry', 'Carpet flooring']","['24-hour package lockers', 'Airbnb-friendly', 'Clubhouse (Available to Rent)', 'Detached garages available', 'Fitness center', 'On-site storage', 'Pet friendly', 'Playground', 'Poolside grilling area', 'Swimming pool', 'Sports lounge']"
Lakeline Villas,"2201 South Lakeline BoulevardCedar Park, TX 78613",$911,2 Bedrooms,"Our apartments offer stylish, relaxed living in Cedar Park, just minutes from downtown Austin.",11205,1,1.0,702,2,True,250.0,1206.0,1206.0,"['Premium interior', 'Light grey on white finish package', 'Smart Home + GiGstreem Internet', 'White quartz countertops', 'Stainless steel appliances', 'Patio/ balcony', 'Wood plank flooring', 'Upgraded bathroom fixtures', 'Washer and dryer', 'Breakfast bar', 'Built-in bookcase', 'Soaking tub', 'Built-in desk', 'Upgraded fixtures', 'Light grey cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Airbnb-friendly', 'Clubhouse', 'Covered parking', 'Detached garage parking', 'Dog park', 'Grilling area', 'Hammock park', 'On-site maintenance', 'Pavilion', 'Pet friendly', 'Reserved parking', 'Resort-style swimming pool']"
Barton Creek Landing,"2800 Bartons Bluff LaneAustin, TX 78746","$1,510",2 Bedrooms,"Our stylish apartments are located in Barton Hills, right in the heart of Austin, and offer remarkable amenities.",1007,1,1.0,625,1,True,275.0,1553.0,1553.0,"['Updated interior', 'Oak on white finish package', 'Premium bathroom interiors', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Carpet flooring', 'Patio/ balcony', 'Smart home package', 'Washer and dryer', 'Large closet', 'Oak cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Airbnb-friendly', 'Bike shop', 'Whisper room', 'Clubhouse', 'Covered parking', 'DIY room', 'Dog park', 'EV charging solutions', 'Garage', 'Grilling area', 'Heated swimming pool and spa', 'Media center', 'On-site maintenance', 'On-site storage', 'Pet friendly', 'Reserved parking', 'Yoga studio']"
Red Stone Ranch,"1600 S. Lakeline Blvd.Cedar Park, TX 78613",$979,3 Bedrooms,Our stylish apartments in South Cedar Park offer resort-style ranch living.,1121,1,1.0,703,2,True,250.0,1074.0,1074.0,"['Pewter on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Washer and dryer', '9 ft. ceilings', 'Patio/ balcony', 'Walk-in closet', 'Built-in computer desk', 'Ceiling fan(s)', 'Dark grey cabinetry', 'Pewter cabinetry']","['24-hour fitness center', '24-hour emergency maintenance', '24-hour package lockers', 'Airbnb-friendly', 'Basketball court', 'Clubhouse (available for event rental)', 'Conference room (available for event rental)', 'Covered parking', 'Dog park with agility course', 'Garage parking', 'Grilling area', 'Limited access gates', 'On-site storage', 'Pet friendly', 'Playground', 'Reserved parking', 'Sundeck', 'Swimming pool']"
The Commons at Windsor Gardens,"624 Walpole StNorwood, MA 02062","$2,020",3 Bedrooms,"Located in Norwood, Massachusetts, this stylish apartment community features upscale amenities and a variety of floor plans in a convenient location.",204,1,1.0,690,2,True,650.0,2055.0,2055.0,"['Espresso on white finish package', 'Patio/balcony', 'Stainless steel appliances', 'Smart home package', 'Espresso Cabinetry', 'Black/white laminate countertops']","['Airbnb-friendly', 'Amenity center - membership access only', 'Dog park', 'Laundry facilities', 'MBTA Commuter rail stop on-premises', 'On-site daycare center (privately operated)', 'Pet-friendly', 'Playground', 'Swimming pool and sundeck', 'Tennis courts']"
Residences at the Domain,"11400 Domain DriveAustin, TX 78758","$1,095",2 Bedrooms,"Situated in Northwest Austin, enjoy immediate proximity to retail, restaurants, industry, and more.",5307,2,2.0,1164,3,True,375.0,2150.0,2150.0,"['Smart Home + GiGstreem Internet', 'Street view', 'Quartz countertops', 'Stainless steel appliances', 'Small patio/balcony', 'Washer and dryer', 'Tile backsplash', 'Hardwood floors', 'Walk-in closet', 'Soaking tub', 'Corner location']","['24-hour emergency maintenance', '24-hour fitness center', '24-hour package lockers', '4 Rooftop decks', 'Controlled-access building', 'Conference spaces', 'Courtyard', 'Covered parking', 'Dog park', 'Elevators', 'On-site storage', 'Outdoor firepit', 'Outdoor kitchen', 'Pet friendly', 'Reserved parking', 'SMART Housing Program available', 'Swimming pool']"
Palo Verde,"7880 US-290Austin, TX 78736","$1,264",3 Bedrooms,"Experience the best of Austin from Palo Verde, a pet-friendly community with resort-style amenities.",11105,1,1.0,608,1,True,250.0,1289.0,1289.0,"['Patio', '10 ft ceiling', 'White on grey finish package', 'Smart home package', 'Grey quartz countertops', 'Kitchen island', 'Stainless steel appliances', 'Weathered oak wood plank flooring', 'Washer and dryer', 'Glass top stove', 'Tile backsplash', 'Walk-in closets', 'Ceiling fans', 'Dishwasher', 'Microwave', 'Garbage disposal', 'USB outlets', 'Undermount sink', 'White cabinetry', 'Carpeted bedrooms', 'Mud room', 'Air conditioner', 'Shower / tub combo', 'Standalone shower']","['Airbnb-friendly', 'Cabana', 'Cardio equipment', 'Community kitchen', 'Community space', 'Conference rooms', 'Co-working space', 'Cycle studio', 'EV charging solutions', 'Firepit courtyard', 'Fitness center', 'Free weights', 'Indoor entertainment seating', 'Large screen TV', 'Lounge seating', 'Outdoor kitchenette', 'Package lockers', 'Pet spa', 'Resident lounge', 'Shuffleboard', 'Sundeck', 'Swimming pool', 'Yoga studio', 'Valet trash']"
Towson Promenade,"707 York RoadTowson, MD 21204","$1,391",2 Bedrooms,"Our ultra-modern nine-level building is located right in the heart of Towson, a walkable community with a lively vibe.",4305,1,1.0,759,4,True,500.0,1919.0,1919.0,"['Pool view', 'Premium interior', 'Smart Home + GiGstreem Internet', 'Grey cabinetry', 'Matte black hardware', 'Quartz countertops', 'Stainless steel appliances', 'Built-in desk', '10 ft. ceilings', 'Wood plank flooring', 'Washer and dryer', 'Walk-in closet', 'Tile backsplash', 'Soaking tub']","['24-hour Fitness center', '24-hour package lockers', 'Accepts electronic payments', '2 conference rooms - available for rent', 'Controlled-access building', 'Courtyards with fireplaces', 'Covered and reserved parking', 'Dog park with agility equipment', 'Electric vehicle charging stations', 'Elevator', 'Executive lounge (available for event rental) ', 'Fitness center with free weights', 'Grilling area', 'Multi-level controlled access parking garage', 'On-site storage', 'Pet friendly', 'Resident lounge', 'Salt water pool']"
1274 at Towson,"1274 E Joppa RdTowson, MD 21286","$1,383",2 Bedrooms,"Centrally located in energetic Towson, 1274 at Towson offers high-style apartments, inviting community spaces, and easy access to downtown Baltimore.",2407,1,1.0,834,4,True,500.0,1885.0,1885.0,"['Loft', 'Coffee on white finish package', 'Granite countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Tile backsplash', 'Tiled shower', 'Walk-in closets', 'Glass top stove', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Microwave', 'Carpeted bedrooms']","['24-hour fitness center', '24-hour package lockers', 'Club room', 'Controlled-access building', 'Elevator', 'On-site maintenance', 'Pet friendly', 'Sundeck', 'Swimming pool']"
Estancia Villas,"1200 Estancia PkwyAustin, TX 78748","$1,006",3 Bedrooms,"Discover the beauty and modernity of Estancia Villas, a thoughtfully designed community in Austin, TX, offering a welcoming atmosphere, well-appointed apartments, and convenient amenities for a comfortable lifestyle.",1224,1,1.0,625,2,True,250.0,1140.0,1140.0,"['Balcony', 'Espresso cabinetry', 'Espresso on coral finish package', 'Smart home package', 'Side by side refrigerator', 'Quartz countertops', 'Stainless steel appliances', 'Tile backsplash', 'Kitchen island', 'Undermount sink', 'Wood plank flooring', 'Ceiling fans', 'Washer and dryer', 'Walk-in closets', 'Air conditioner', 'Shower/tub combo', 'Carpet flooring', 'Dishwasher', 'Microwave', 'Garbage disposal']","['Airbnb-friendly', 'Community garden', 'Community kitchen', 'Conference room', 'Dog parks', 'Firepit courtyard', 'Fitness center', 'Grilling stations', 'Indoor entertainment seating', 'Movie theater', 'Package lockers', 'Resident lounge', 'Shuffleboard', 'Swimming pool with lounge seating', 'Valet trash']"
20 Lambourne,"20 Lambourne RdTowson, MD 21204","$1,297",3 Bedrooms,"Ideally located in Towson with upscale amenities and premier resident services, 20 Lambourne is the place to be in Northern Baltimore.",432,1,1.0,875,4,True,500.0,1954.0,1954.0,"['Updated interior', 'Grey on white finish package', 'High ceilings', 'Smart home package', 'Breakfast bar', 'Wood plank flooring', 'Washer and dryer', 'Black appliances', 'Closet built-ins', 'White laminate countertops']","['24-hour fitness center', '24-hour package lockers', 'Clubhouse (available for event rental)', 'Controlled-access parking garage', 'Courtyard with goldfish pond', 'Elevator', 'Free weights', 'Grilling area', 'On-site maintenance', 'On-site storage', 'Pet friendly', 'Rooftop lounge - Coming soon', 'Resident events']"
The Quarters at Towson Town Center,"960 Southerly Rd.Towson, MD 21204","$1,601",3 Bedrooms,"Find the comforts of home at The Quarters at Towson Town Center. Featuring inviting interiors and unique community amenities, enjoy convenient living from the walkable downtown Towson location.",T28,1,1.0,738,0,True,500.0,1601.0,1601.0,"['Premium interior', 'Dark grey on white finish package', 'White quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Patio / balcony', 'Kitchen island', 'Large closets', 'Ceiling fans', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Tiled tub and shower', 'Garden tub', 'Smart home package', 'Shaker style grey cabinetry']","['Billiards', 'Community prep kitchen', 'Micro offices', 'Conference room', 'Courtyards', 'Elevators', 'Entertainment lounge', 'Fitness centers', 'Fitness On-demand studio', 'Package lockers', 'Parking garage', 'Pet friendly', 'Resident lounge', 'Secured building entrance', 'Sundeck', 'Swimming pool', 'Valet trash']"
Bradlee Danvers,"1101 Kirkbride DriveDanvers, MA 01923","$2,650",3 Bedrooms,"Featuring welcoming interiors and impressive community amenities, Bradlee Danvers offers an apartment living experience that truly feels like home.",01406,1,1.0,1000,4,True,650.0,2706.0,2706.0,"['ADA accessible', 'Premium interior', 'Bright white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Tile backsplash', 'Washer and dryer', 'Undermount sink', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Microwave', 'Stand alone shower', 'Elevator building']","['24 hour package lockers', 'Airbnb-friendly', 'Arcade room with pop-a-shot, pinball, and skee ball', 'Boxing room', 'Courtyard picnic area', 'Dog park', 'Elevator', 'Fitness center', 'Game room with billiards, shuffleboard, Golden Tee, and lounge seating ', 'Gas grills', 'Indoor sports court', 'Pet friendly', 'Playgrounds', 'Resident lounge', 'Spin room', 'Swimming pool with cabanas', 'Theatre room', 'Work from home space', 'Yoga studio']"
Lodge at Foxborough,"400 Foxborough Blvd.Foxborough, MA 02035","$2,359",2 Bedrooms,"Conveniently located between Providence and Boston, enjoy idyllic, stylish living at Lodge at Foxborough.",6207,1,1.0,715,2,True,650.0,2359.0,2359.0,"['Wooded view', 'Walnut on grey finish package', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Patio/balcony', 'Pantry', 'Walk-in closet', 'Built-in desk', 'Screen door', 'Walnut cabinetry', 'Marbled granite countertops']","['24-hour fitness center', '24-hour package lockers', 'Attached garages', 'Billiards', 'Clubhouse with Wi-Fi', 'Detached garages available', 'Dog park', 'Fire pit /outdoor living', 'Gas grilling areas', 'On-site storage', 'Open concept workstations', 'Pet friendly', 'Playground', 'Reserved parking', 'Saltwater swimming pool', 'Shuffleboard', 'Sports lounge']"
Inwood West,"1 Inwood DriveWoburn, MA 01801","$2,311",2 Bedrooms,Life at Inwood West in Woburn combines modern convenience with stunning amenities in a tranquil setting.,5310,1,1.0,1076,3,True,650.0,3053.0,3053.0,"['White on amber finish package', 'Wooded view', 'Elevator building', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Fully-enclosed loft', 'Patio/balcony', 'Den/ office']","['24-hour fitness center', '24-hour package lockers', 'Billiards', 'Clubhouse with Wi-Fi', 'Controlled-access building', 'Dog park', 'Elevator (select buildings)', 'Garages', 'Grilling area', 'Outdoor lounge', 'Pet friendly', 'Reserved parking', 'Resident lounge', 'Spin studio', 'Sports court', 'Swimming pool']"
14 North,"1000 Crane Brook WayPeabody, MA 01960","$2,666",3 Bedrooms,"Located in Peabody, 14 North offers spacious floor plans and thoughtful touches in a comfortable environment.",1108,1,1.0,909,1,True,650.0,2754.0,2754.0,"['White on amber finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Patio/balcony', 'Washer and dryer', 'Walk-in closet']","['24-hour fitness center', '24-hour package lockers', 'Bike storage', 'Clubhouse', 'Dog park', 'Elevator (select buildings)', 'Walking trail', 'Garages', 'Grilling areas', 'Smoke-free community', 'On-site storage', 'Pet friendly', 'Playground', 'Sports court', 'Sundeck', 'Swimming pool']"
100 Pier 4,"100 Pier 4 Blvd.Boston, MA 02210","$3,580",3 Bedrooms,"Rising 21-stories above Boston Seaport, 100 Pier 4 is the must-have address near downtown.",705,1,1.0,537,7,True,750.0,3580.0,3580.0,"['Junior one bedroom', 'Espresso on sand finish package', 'City view', 'Espresso cabinetry', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Tile backsplash', 'Built-in desk', 'Sand granite countertops']","['24-hour concierge', '24-hour package lockers', '2 Conference rooms', 'Billiards', 'Bike storage', 'Community kitchen', 'Electric vehicle charging stations', 'Elevators', 'Fitness center', 'Grilling stations', 'LEED Certified Silver', 'Non-smoking community', 'On-site retail', 'Outdoor fireplace', 'Parking garage', 'Pet friendly', 'Resident lounge', 'Rooftop pool', 'Sundeck', 'Yoga and Spin studio']"
Domain Brewers Hill,"1200 S. Conkling StreetBaltimore, MD 21224","$1,898",2 Bedrooms,Domain Brewers Hill is a small boutique apartment community located in Canton in downtown Baltimore.,247,1,1.0,723,2,True,500.0,1910.0,1910.0,"['Courtyard view', 'Walnut on sand finish package', 'Balcony', 'Smart home package', 'Washer and dryer', 'Wood plank flooring', 'Granite countertops', 'Stainless steel appliances', 'Pantry', 'Walk-in closet', 'Ceiling fan', 'Soaking tub', 'Built-in desk', 'Walnut cabinetry']","['24-hour package lockers', '24/7 fitness center', 'Coffee and tea bar', 'Conference room', 'Courtyards', 'Elevators', 'Lounge', 'On-site maintenance', 'On-site storage', 'Pet friendly', 'Reserved parking']"
345 Harrison,"345 Harrison AveBoston, MA 02118","$2,843",3 Bedrooms,"This modern, luxurious South End apartment community features unique amenities and stylish finishes.",1025,1,1.0,652,10,True,750.0,3789.0,3789.0,"['Grey on white finish package', 'South Boston view', 'Stainless steel appliances', 'Wood plank flooring', 'Tile backsplash', 'Italian cabinetry', 'Grey cabinetry', 'White quartz countertops', 'Washer and dryer', 'Smart home package', 'Keyless entry', 'Barn doors', 'Bay window', 'Premium bathroom fixtures', 'USB outlets']","['24-hour concierge', '24-hour package pickup', 'Barbeque areas', 'Bicycle storage', 'Cabanas poolside', 'Conference room', 'Co-working spaces with Wi-fi', 'CVS on-site', 'Electric vehicle charging stations', 'Elevator', 'Focus room', 'Free weights', 'Garage parking', 'Large TV media center', 'LEED Certified Silver', 'Life Fitness equipment', 'Mezzanine lounge', 'Non-smoking community', 'Paws pet park', 'Peloton bikes', 'Pet friendly', 'Pool tables', 'Resort-style pool', 'Sky Deck', 'Social lounge areas', 'Two-story fitness center', 'Yoga room']"
Ridge at Blue Hills,"800 West StreetBraintree, MA 02184","$2,556",2 Bedrooms,"Discover upscale amenities, spacious interiors, and a town rich in history at our stylish apartments in Blue Hills.",2312,1,1.0,937,3,True,650.0,2556.0,2556.0,"['Patio/balcony', 'Walnut on grey finish package', 'Smart Home + GiGstreem Internet', 'Built-in desk', 'Stainless steel appliances', 'Washer and dryer', 'Breakfast bar', 'Pantry', 'Walk-in closet', 'Soaking tub', 'Ceiling fan', 'Grey laminate countertops', 'Brown cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Clubhouse (available for rental)', 'Controlled-access building', 'Dog park', 'Elevator', 'Fire pit area', 'Garage parking', 'Nearby walking trails', 'On-site storage', 'Pet friendly', 'Playground', 'Poolside grilling area', 'Swimming pool']"
Charles River Landing,"300 2nd AvenueNeedham, MA 02494","$3,099",2 Bedrooms,Stunning luxury apartments and premier amenities make Charles River Landing apartments in North Needham a resident favorite.,1146,1,1.0,792,1,True,650.0,3139.0,3139.0,"['Walnut on white finish package', 'Courtyard view', 'Quartz countertops', 'Stainless steel appliances', 'Hardwood floors', 'Smart home package', 'Tile backsplash', 'Washer and dryer', 'Walk-in closet', 'Pantry', 'Ceiling fan', 'Tile floors in bathroom', 'Soaking tub', 'Walnut cabinetry']","['24-hour package lockers', 'Clubhouse', 'Controlled-access building', 'Coffee and tea bar', 'Courtyards w/outdoor fireplaces', 'Elevator', 'EV charging solutions', 'Fitness center', 'Grilling area', 'Guest parking', 'On-site storage', 'Pet friendly', 'Spin studio', 'Swimming pool', 'Uncovered and Garage Parking', 'Wi-Fi (in common areas)']"
Lenox Farms,"550 Liberty StreetBraintree, MA 02184","$3,123",2 Bedrooms,Lenox Farms apartments offer thoughtful amenities combined with a central location on Boston’s South Shore.,2209,1,1.0,1119,2,True,650.0,3176.0,3176.0,"['Premium interior', 'Grey on white finish package', 'Attached garage', 'Quartz countertops', 'Stainless steel appliances', 'Grey wood plank flooring', 'LED lighting', 'Smart home package', 'High ceilings', 'Patio/balcony', 'Walk-in closet', 'Tile backsplash', 'Corner location', 'Washer and dryer', 'Tile floors in kitchen/bath', 'Dual vanity', 'Soaking tub', 'Built-in bookcase', 'Built-in desk']","['Clubhouse', 'Fitness center', 'Garage parking', 'Grilling area', 'Pet friendly', 'Playground', 'Billiards', 'Resident lounge', 'Swimming pool']"
Villas at Fiori,"4030 Vitruvian WayAddison, TX 75001","$2,717",3 Bedrooms,"Experience high-end amenities, premium interior finishes, and the conveniences of Vitruvian Park from Villas at Fiori’s Addison location.",201,1,1.5,1500,1,True,300.0,2792.0,2792.0,"['Private yard', 'Balcony', 'Grey on white finish package', 'Smart Home + GiGstreem Internet', 'Private two-car garage', 'Quartz countertops', 'Stainless steel appliances', 'Side-by-side refrigerator', 'Walnut wood plank flooring', 'Mud room', 'Kitchen island waterfall edge', 'EV charging adaptors', 'Washer and dryer', 'Walk-in closet', 'Tile backsplash', 'Powder room', 'Wine cooler', 'Laundry room', 'Ceiling fans', 'Frameless glass enclosed shower', 'Double sink vanity', '5-piece bathroom', 'Dimmable lights', 'Built-in shelving', 'Shower tub combo', 'USB outlets', 'Corner location', 'Grey cabinets']","['Access to Fiori on Vitruvian Park amenities', 'Business lounge', 'Conference rooms', 'Co-working spaces', 'Dog park', 'Fitness center', 'Grilling stations', 'Swimming pool', 'Package lockers']"
Garrison Square,"7 Harcourt StreetBoston, MA 02116","$3,988",3 Bedrooms,"Blending historic architecture and modern sensibilities, Garrison Square offers desirable luxury apartment living in Back Bay.",108,2,1.0,927,1,True,1000.0,5866.0,5866.0,"['Updated interior', 'Honey on white granite finish package', 'Terrace', 'Stainless steel appliances', 'Granite countertops', 'Espresso cabinetry', 'Wood plank flooring', 'Wood burning fireplace', 'Smart home package', 'Washer and dryer', 'Maple cabinetry', 'Honey cabinetry']","['24-hour package lockers', 'Concierge services', 'Conference rooms', 'Elevator', '24-hour fitness center', 'Electric vehicle charging stations', 'Keyless entry building access', 'On-site storage', 'Parking garage', 'Pet friendly', 'Private landscaped courtyard', 'Rooftop grilling area', 'Rooftop terrace', 'Yoga room']"
Fiori on Vitruvian Park®,"3990 Vitruvian WayAddison, TX 75001","$1,398",3 Bedrooms,"Located just a short commute from downtown Dallas, turn your everyday into a resort experience at Fiori On Vitruvian Park®.",518,1,1.0,620,5,True,275.0,1398.0,1398.0,"['Courtyard view', 'Balcony', 'Smart Home + GiGstreem Internet', 'Granite countertops', 'Stainless steel appliances', 'Kitchen island', 'Wood plank flooring', 'Tile floors', 'Washer and dryer', '9 ft. ceilings', 'Floor-to-ceiling windows', 'Walk-in closet', 'California closet built-ins']","['24-hour package lockers', 'Bike racks', 'Outdoor billiards lounge', 'Boardroom', 'Controlled-access building', 'Dale Chihuly lobby sculpture', 'Elevators', 'EV charging solutions ', 'Indoor and outdoor entertainment spaces', 'Media lounge', 'On-site storage', 'Pet friendly', 'Private garages', 'Reserved parking available', 'Silver Certified LEED', 'SkyVue rooftop lounge - available for rent', 'Swimming Pools (2)', 'Multi-level fitness center', 'Walking and fitness trails']"
Currents on the Charles,"36 River StreetWaltham, MA 02453","$2,416",3 Bedrooms,"Located along the Charles River, this modern apartment community features upscale amenities conveniently close to great shopping, dining, and the best of Boston.",143,1,1.0,757,1,True,650.0,2605.0,2605.0,"['Walnut on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Kitchen island', 'Stainless steel appliances', 'Washer and dryer', 'Walnut wood plank flooring', 'Walk-in closet', 'Tile backsplash', 'Tiled shower', 'High ceilings', 'Air conditioning', 'Walnut cabinetry']","['24-hour package lockers', 'BBQ grills', 'Bike storage', 'Billiards', 'Catering kitchen with dining area\xa0', 'Community library', 'Conference rooms', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'Garage parking\xa0with controlled access', 'Garden courtyard', 'Heated pool with sundeck', 'LEED Certified Gold', 'Pet-friendly', 'Resident lounge ', 'Spin/yoga room', 'Walking trails']"
